new_method_ABox_size,new_method_Closure_size,new_method_Closure_time,new_method_Conflicts_size,new_method_Conflicts_time,new_method_Cpi_repair_size,new_method_Cpi_repair_time,new_method_Total_time,new_method_size_all_supports,old_method_ABox_size,old_method_Closure_size,old_method_Closure_time,old_method_Conflicts_size,old_method_Conflicts_time,old_method_Cpi_repair_size,old_method_Cpi_repair_time,old_method_Supports_time,old_method_Total_time,old_method_size_all_supports
1000,2884,3.065999984741211,10,42.20799994468689,946,0.09100008010864258,45.36500000953674,2884,1000,2884,2.7339999675750732,10,40.2039999961853,946,0.10599994659423828,51.48200011253357,94.52600002288818,2884
1000,3056,3.0299999713897705,100,43.19199991226196,821,0.375,46.59699988365173,3056,1000,3056,2.799999952316284,100,42.723999977111816,821,0.9670000076293945,55.98300004005432,102.47399997711182,3056
1000,3224,3.1110000610351562,250,44.050999879837036,628,0.317000150680542,47.479000091552734,3224,1000,3224,2.7860000133514404,250,43.944000005722046,628,2.9070000648498535,58.15400004386902,107.79100012779236,3224
1000,2884,2.9130001068115234,10,42.68899989128113,2847,0.13000011444091797,45.73200011253357,2884,1000,2884,2.6649999618530273,10,42.79299998283386,2847,0.10800004005432129,52.4210000038147,97.98699998855591,2884
1000,3056,3.0739998817443848,100,43.41199994087219,2740,0.6380000114440918,47.12399983406067,3056,1000,3056,2.943999767303467,100,44.76300001144409,2740,0.6970000267028809,57.8970000743866,106.30099987983704,3056
1000,3224,3.065999984741211,250,45.026000022888184,2404,1.3450000286102295,49.437000036239624,3224,1000,3224,2.9529998302459717,250,44.74300003051758,2404,2.0909998416900635,59.24500012397766,109.03199982643127,3224
10000,30036,3.0880000591278076,100,44.48300004005432,29720,6.990999937057495,54.562000036239624,30036,10000,30036,2.739000082015991,100,42.515000104904175,29720,7.008000135421753,529.6799998283386,581.9420001506805,30036
10000,30335,3.1439998149871826,1001,46.91000008583069,27126,67.95099997520447,118.00499987602234,30339,10000,30335,2.809999942779541,1001,45.121999979019165,27126,75.26900005340576,543.3210000991821,666.5220000743866,30339
10000,31392,3.3550000190734863,2502,50.20700001716614,23449,150.07500004768372,203.63700008392334,31398,10000,31392,2.940999984741211,2502,49.1010000705719,23449,206.17600011825562,609.1349999904633,867.353000164032,31398
50000,150071,3.8289999961853027,503,48.41600012779236,148453,184.19599986076355,236.4409999847412,150089,50000,150071,3.5269999504089355,503,50.670000076293945,148453,178.30399990081787,2894.1019999980927,3126.6029999256134,150089
50000,152938,3.884000062942505,5019,48.94600009918213,136941,1732.9049999713898,1785.7350001335144,153011,50000,152938,3.509999990463257,5019,52.317999839782715,136941,1888.4249999523163,2998.476000070572,4942.728999853134,153011
50000,157476,3.6619999408721924,12532,51.15000009536743,117792,3796.0169999599457,3850.8289999961853,157577,50000,157476,3.2160000801086426,12532,50.12599992752075,117792,5139.745000123978,3137.8250000476837,8330.91200017929,157577
1000,2884,2.9539999961853027,10,42.206000089645386,946,0.09099984169006348,45.25099992752075,2884,1000,2884,2.6740000247955322,10,41.3289999961853,946,0.11399984359741211,51.801000118255615,95.91799998283386,2884
1000,3056,3.0439999103546143,100,42.85000014305115,821,0.3359999656677246,46.230000019073486,3056,1000,3056,2.8540000915527344,100,44.132999897003174,821,0.8959999084472656,55.907999992370605,103.79099988937378,3056
1000,3224,2.9630000591278076,250,43.449000120162964,628,0.3149998188018799,46.72699999809265,3224,1000,3224,2.7799999713897705,250,43.71900010108948,628,2.924999952316284,59.324000120162964,108.7480001449585,3224
10000,30036,3.115999937057495,100,45.11500000953674,10537,2.2360000610351562,50.467000007629395,30036,10000,30036,2.941999912261963,100,44.741000175476074,10537,9.907999992370605,535.7149999141693,593.305999994278,30036
10000,30335,3.130000114440918,1001,46.125,8565,18.155999898910522,67.41100001335144,30339,10000,30335,3.1060001850128174,1001,46.18999981880188,8565,97.80400013923645,558.0629999637604,705.1630001068115,30339
10000,31392,3.430999994277954,2502,47.75999999046326,5539,27.09999990463257,78.29099988937378,31398,10000,31392,3.196000099182129,2502,48.318000078201294,5539,274.4230000972748,592.0739998817444,918.0110001564026,31398
50000,150071,3.493000030517578,503,46.73099994659424,52186,50.5239999294281,100.74799990653992,150089,50000,150071,3.077000141143799,503,43.44599986076355,52186,231.06799983978271,2855.518000125885,3133.108999967575,150089
50000,152938,3.2229998111724854,5019,47.14100003242493,42940,426.654000043869,477.01799988746643,153011,50000,152938,3.5230000019073486,5019,46.907999992370605,42940,2513.024999856949,2924.7490000724792,5488.204999923706,153011
50000,157476,3.6089999675750732,12532,48.665000200271606,26944,677.7109999656677,729.9850001335144,157577,50000,157476,3.178999900817871,12532,46.068000078201294,26944,6666.863000154495,2915.0609998703003,9631.171000003815,157577
