new_method_ABox_size,new_method_Closure_size,new_method_Closure_time,new_method_Conflicts_size,new_method_Conflicts_time,new_method_Cpi_repair_size,new_method_Cpi_repair_time,new_method_Total_time,new_method_size_all_supports,old_method_ABox_size,old_method_Closure_size,old_method_Closure_time,old_method_Conflicts_size,old_method_Conflicts_time,old_method_Cpi_repair_size,old_method_Cpi_repair_time,old_method_Supports_time,old_method_Total_time,old_method_size_all_supports,old_method_assertions_in_conflict
1000,2884,2.9539999961853027,10,42.206000089645386,946,0.09099984169006348,45.25099992752075,2884,1000,2884,2.6740000247955322,10,41.3289999961853,946,0.11399984359741211,51.801000118255615,95.91799998283386,2884,20
1000,3056,3.0439999103546143,100,42.85000014305115,821,0.3359999656677246,46.230000019073486,3056,1000,3056,2.8540000915527344,100,44.132999897003174,821,0.8959999084472656,55.907999992370605,103.79099988937378,3056,200
1000,3224,2.9630000591278076,250,43.449000120162964,628,0.3149998188018799,46.72699999809265,3224,1000,3224,2.7799999713897705,250,43.71900010108948,628,2.924999952316284,59.324000120162964,108.7480001449585,3224,500
10000,30036,3.115999937057495,100,45.11500000953674,10537,2.2360000610351562,50.467000007629395,30036,10000,30036,2.941999912261963,100,44.741000175476074,10537,9.907999992370605,535.7149999141693,593.305999994278,30036,200
10000,30335,3.130000114440918,1001,46.125,8565,18.155999898910522,67.41100001335144,30339,10000,30335,3.1060001850128174,1001,46.18999981880188,8565,97.80400013923645,558.0629999637604,705.1630001068115,30339,2000
10000,31392,3.430999994277954,2502,47.75999999046326,5539,27.09999990463257,78.29099988937378,31398,10000,31392,3.196000099182129,2502,48.318000078201294,5539,274.4230000972748,592.0739998817444,918.0110001564026,31398,5000
50000,150071,3.493000030517578,503,46.73099994659424,52186,50.5239999294281,100.74799990653992,150089,50000,150071,3.077000141143799,503,43.44599986076355,52186,231.06799983978271,2855.518000125885,3133.108999967575,150089,1000
50000,152938,3.2229998111724854,5019,47.14100003242493,42940,426.654000043869,477.01799988746643,153011,50000,152938,3.5230000019073486,5019,46.907999992370605,42940,2513.024999856949,2924.7490000724792,5488.204999923706,153011,10000
50000,157476,3.6089999675750732,12532,48.665000200271606,26944,677.7109999656677,729.9850001335144,157577,50000,157476,3.178999900817871,12532,46.068000078201294,26944,6666.863000154495,2915.0609998703003,9631.171000003815,157577,25000
